"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
200020;"RE-2026-00169";;;00169;"";;;;;-402,25;-80,45;;4000;"A";"E";-402,25;00169;"RE-2026-00169"
200164;"RE-2026-00170";;;00170;"";;;;;-144,50;-28,90;;4008;"A";"E";-144,50;00170;"RE-2026-00170"
200164;"RE-2026-00171";;;00171;"";;;;;-123,00;-24,60;;4013;"A";"E";-123,00;00171;"RE-2026-00171"
200238;"RE-2026-00172";;;00172;"";;;;;-700,00;-140,00;;4001;"A";"E";-700,00;00172;"RE-2026-00172"
200308;"RE-2026-00173";;;00173;"";;;;;-84,60;-14,85;;4000;"A";"E";-84,60;00173;"RE-2026-00173"
200208;"RE-2026-00174";;;00174;"";;;;;-64,60;-12,92;;4016;"A";"E";-64,60;00174;"RE-2026-00174"
200210;"RE-2026-00175";;;00175;"";;;;;-1262,02;-252,41;;4000;"A";"E";-1262,02;00175;"RE-2026-00175"
200091;"RE-2026-00176";;;00176;"";;;;;-1871,08;-374,21;;4001;"A";"E";-1871,08;00176;"RE-2026-00176"
2000;"RE-2026-00177";;;00177;"";;;;;-58,17;-11,63;;4000;"A";"E";-58,17;00177;"RE-2026-00177"
20007;"RE-2026-00178";;;00178;"";;;;;-338,33;-67,67;;4008;"A";"E";-338,33;00178;"RE-2026-00178"
20008;"RE-2026-00179";;;00179;"";;;;;-665,83;-133,17;;4016;"A";"E";-665,83;00179;"RE-2026-00179"
20009;"RE-2026-00180";;;00180;"";;;;;-123,00;-24,60;;4013;"A";"E";-123,00;00180;"RE-2026-00180"
2000;"RE-2026-00181";;;00181;"";;;;;-201,57;-40,31;;4000;"A";"E";-201,57;00181;"RE-2026-00181"
2000;"RE-2026-00182";;;00182;"";;;;;-253,67;-50,73;;4000;"A";"E";-253,67;00182;"RE-2026-00182"
